IFR;PERC_D;PERC_K;MFI;UO;SUPRES;FUT
83,82 ;92,22 ;92,02 ;76,00 ;73,76 ;98,15 ;3
83,47 ;92,35 ;93,34 ;74,18 ;73,86 ;98,00 ;3
73,46 ;91,53 ;82,69 ;67,68 ;65,20 ;92,75 ;3
51,74 ;86,97 ;51,60 ;58,40 ;50,16 ;77,22 ;3
44,03 ;79,06 ;24,30 ;48,73 ;44,20 ;65,67 ;1
46,27 ;69,54 ;9,31 ;49,32 ;42,23 ;67,83 ;1
54,91 ;61,98 ;24,38 ;54,18 ;44,99 ;78,74 ;1
57,24 ;56,32 ;38,80 ;51,74 ;41,68 ;82,17 ;3
47,56 ;50,75 ;40,33 ;44,05 ;37,81 ;69,62 ;1
49,56 ;44,40 ;34,84 ;44,64 ;44,00 ;72,35 ;3
50,17 ;37,04 ;27,11 ;44,08 ;47,96 ;73,17 ;3
44,83 ;30,66 ;25,27 ;44,34 ;43,27 ;64,79 ;1
45,55 ;27,63 ;24,34 ;38,33 ;46,30 ;63,51 ;1
39,75 ;26,49 ;14,05 ;38,74 ;35,04 ;53,06 ;1
48,38 ;27,70 ;20,16 ;38,29 ;40,79 ;65,12 ;1
54,89 ;28,74 ;33,78 ;43,56 ;48,19 ;76,39 ;2
51,23 ;30,39 ;53,60 ;50,36 ;41,41 ;70,46 ;2
54,10 ;33,44 ;67,81 ;58,57 ;45,08 ;75,64 ;1
52,30 ;37,13 ;68,06 ;64,40 ;48,72 ;72,83 ;1
53,71 ;42,28 ;73,46 ;62,65 ;46,71 ;75,20 ;1
60,55 ;48,44 ;80,71 ;63,02 ;59,96 ;87,27 ;1
64,13 ;55,76 ;90,20 ;63,22 ;59,30 ;95,88 ;2
66,14 ;64,85 ;95,87 ;73,74 ;56,53 ;95,82 ;3
61,54 ;72,39 ;88,01 ;65,44 ;59,82 ;89,06 ;2
62,87 ;77,87 ;83,08 ;64,89 ;59,58 ;92,20 ;3
61,39 ;80,53 ;77,59 ;65,56 ;60,88 ;89,87 ;3
58,90 ;81,28 ;74,51 ;64,21 ;60,31 ;86,27 ;3
